Year;Day;Month;Site;Season;Habitat;DegLev;Bird;Sex;Plant Family;Plant species;Activity;Folder;Picture;Time
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160309AA;8243;8:17:31
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160309AA;8780;8:26:28
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160309AA;9430;8:37:18
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160309AA;12691;9:31:39
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160309AA;16104;10:28:32
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160309AA;18859;11:14:27
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160309AB;1495;13:25:03
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160309AB;2659;13:44:27
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160309AB;5291;14:28:19
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160309AB;5941;14:39:09
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160309AB;10763;15:59:31
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160309AB;14102;16:55:10
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160309AB;17093;17:45:01
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160310AA;1908;6:31:56
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160310AA;2229;6:37:17
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160310AA;3279, 3281;6:54:47
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160310AA;4624;7:17:12
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160310AA;4934;7:22:22
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160310AA;7539;8:05:47
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160310AA;10239;8:50:47
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160310AA;10449;8:54:17
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160310AA;12782;9:33:10
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160310AA;18352;11:06:00
